FOODID	ORIGFDNM	ENGFDNAM	LANGUALCODES	REMARKS
17-282	Tomato soup, dried, as served	Tomato soup, dried, as served	A0722 A0865 B1276 C0167 E0109 F0022 G0003 H0152 H0227 H0259 J0001 K0003 M0001 N0001 P0024	
13-461	Tomatoes, canned, whole contents	Tomatoes, canned, whole contents	A0705 A0827 B1276 C0140 E0151 F0014 G0003 H0003 J0123 K0016 M0204 N0001 P0024 Z0220	
13-388	Tomatoes, cherry, raw	Tomatoes, cherry, raw	A0705 A0826 B1608 C0140 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
50-828	Tomatoes, fried in blended oil	Tomatoes, fried in blended oil	A0705 A0826 B1276 C0140 E0152 F0014 G0025 H0334 J0001 K0003 M0001 N0001 P0024	
13-385	Tomatoes, fried in corn oil	Tomatoes, fried in corn oil	A0705 A0826 B1276 C0140 E0152 F0014 G0025 H0334 J0001 K0003 M0001 N0001 P0024	
13-419	Tomatoes, fried in lard	Tomatoes, fried in lard	A0705 A0826 B1276 C0140 E0152 F0014 G0025 H0335 J0001 K0003 M0001 N0001 P0024	
13-467	Tomatoes, grilled	Tomatoes, grilled	A0705 A0826 B1276 C0140 E0152 F0014 G0006 H0003 J0001 K0003 M0001 N0001 P0024	
13-460	Tomatoes, raw	Tomatoes, raw	A0705 A0826 B1276 C0140 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
15-321	Tomatoes, stuffed with rice	Tomatoes, stuffed with rice		
15-610	Tomatoes, stuffed with vegetables	Tomatoes, stuffed with vegetables		
17-375	Tomatoes, sun dried	Tomatoes, sun dried		
19-154	Tongue slices	Tongue slices	A0716 A0796 B1161 C0189 E0137 F0014 G0001 H0001 J0001 K0003 M0001 N0001 P0024	
19-153	Tongue, canned	Tongue, canned		
18-423	Tongue, lamb, raw	Tongue, lamb, raw	A0716 A0796 B1669 C0189 E0152 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
18-424	Tongue, ox, pickled, raw	Tongue, ox, pickled, raw		
18-425	Tongue, ox, pickled, stewed	Tongue, ox, pickled, stewed		
18-426	Tongue, ox, stewed	Tongue, ox, stewed	A0716 A0796 B1161 C0189 E0152 F0014 G0020 H0003 J0001 K0003 M0001 N0001 P0024	
18-427	Tongue, sheep, stewed	Tongue, sheep, stewed	A0716 A0796 B1183 C0189 E0152 F0014 G0020 H0003 J0001 K0003 M0001 N0001 P0024	
17-184	Tonic water	Tonic water	A0709 A0843 B1217 C0005 E0123 F0003 G0003 H0108 H0109 H0136 H0150 H0200 H0229 J0001 K0003 M0194 N0001 P0024	
17-238	Tonic wine	Tonic wine		
12-408	Torte, fruit	Torte, fruit	A0721 A0864 B1201 C0123 E0147 F0001 G0003 H0136 H0147 J0142 K0003 M0001 N0001 P0024 R0001	
17-497	Tortilla chips	Tortilla chips	A0722 A0868 B1379 C0155 E0153 F0014 G0003 H0117 H0150 H0173 H0263 J0001 K0003 M0197 N0001 P0024 R0001	
11-632	Tortillas, made with wheat flour	Tortillas, made with wheat flour		
14-849	Trail mix	Trail mix	A0703 A0868 B1213 C0155 E0150 F0014 G0003 H0138 H0364 J0116 K0003 M0001 N0001 P0024	
11-602	Treacle tart	Treacle tart	A0695 A0864 B1312 C0132 E0105 F0014 G0005 H0221 H0259 H0280 J0003 K0003 M0001 N0001 P0024 R0001	
17-068	Treacle, black	Treacle, black	A0697 A0836 B1012 C0271 E0102 F0014 G0003 H0001 J0001 K0003 M0001 N0001 P0024 R0001	
12-878	Trifle, chocolate, individual	Trifle, chocolate, individual		
12-250	Trifle, frozen	Trifle, frozen		
12-409	Trifle, fruit, retail	Trifle, fruit, retail	A0721 A0864 B1201 C0113 E0134 F0023 G0003 H0117 H0136 H0147 H0150 H0160 H0186 J0131 K0003 M0001 N0001 P0024 R0001 Z0112	
12-417	Trifle, homemade	Trifle, homemade	A0721 A0864 B1201 C0113 E0134 F0023 G0003 H0147 H0160 J0131 K0003 M0001 N0001 P0024 R0001 Z0109	
12-432	Trifle, with Dream Topping	Trifle, with Dream Topping		
19-430	Tripe and onions, stewed	Tripe and onions, stewed		
18-428	Tripe, dressed, raw	Tripe, dressed, raw	A0716 A0796 B1161 C0192 E0151 F0003 G0003 H0001 J0001 K0003 M0001 N0001 P0024	
50-502	Tripe, dressed, stewed	Tripe, dressed, stewed	A0716 A0796 B1161 C0192 E0151 F0014 G0020 H0001 J0001 K0003 M0001 N0001 P0024	
16-224	Trout, brown, raw	Trout, brown, raw	A0717 A0802 B1479 C0175 E0122 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
50-629	Trout, brown, steamed	Trout, brown, steamed	A0717 A0802 B1479 C0267 E0122 F0014 G0006 H0003 J0001 K0003 M0001 N0001 P0024	
50-630	Trout, brown, steamed, weighed with bones	Trout, brown, steamed, weighed with bones	A0717 A0802 B1479 C0267 E0122 F0014 G0006 H0003 J0001 K0003 M0001 N0001 P0024	
16-330	Trout, rainbow, grilled	Trout, rainbow, grilled	A0717 A0802 B1109 C0268 E0122 F0014 G0006 H0003 J0001 K0003 M0001 N0001 P0024	
16-347	Trout, rainbow, grilled, weighed with bones and skin	Trout, rainbow, grilled, weighed with bones and skin	A0717 A0802 B1109 C0267 E0122 F0014 G0006 H0003 J0001 K0003 M0001 N0001 P0024	
16-225	Trout, rainbow, raw	Trout, rainbow, raw	A0717 A0802 B1109 C0268 E0122 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
17-098	Truffles, mocha	Truffles, mocha		
17-588	Truffles, rum	Truffles, rum		
16-308	Tuna pate	Tuna pate	A0717 A0803 B1269 C0125 E0144 F0014 G0003 H0117 H0200 H0221 J0001 K0003 M0001 N0001 P0024 Z0112	
16-339	Tuna, canned in brine, drained	Tuna, canned in brine, drained	A0717 A0803 B1376 C0268 E0122 F0014 G0003 H0001 J0123 K0018 M0204 N0001 P0024 Z0219	
16-230	Tuna, canned in oil, drained	Tuna, canned in oil, drained	A0717 A0803 B1376 C0268 E0122 F0014 G0003 H0001 J0123 K0026 M0204 N0001 P0024 Z0219	
16-228	Tuna, raw	Tuna, raw	A0717 A0802 B1269 C0175 E0122 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
16-156	Turbot, grilled	Turbot, grilled		
16-157	Turbot, grilled, weighed with bones and skin	Turbot, grilled, weighed with bones and skin		
16-155	Turbot, raw	Turbot, raw		
19-439	Turkey and pasta bake	Turkey and pasta bake		
19-365	Turkey pie, single crust, homemade	Turkey pie, single crust, homemade		
19-155	Turkey roast, frozen, cooked	Turkey roast, frozen, cooked		
19-156	Turkey roll	Turkey roll	A0715 A0795 B1236 C0267 E0137 F0014 G0003 H0117 H0148 J0001 K0003 M0001 N0001 P0024	
19-295	Turkey sausages, raw	Turkey sausages, raw		
19-157	Turkey slices	Turkey slices		
19-158	Turkey steaks in crumbs, frozen, grilled	Turkey steaks in crumbs, frozen, grilled		
18-356	Turkey, breast, fillet, grilled, meat only	Turkey, breast, fillet, grilled, meat only	A0715 A0795 B1236 C0268 E0152 F0014 G0006 H0003 J0001 K0003 M0001 N0001 P0024 Z0003 Z0019 Z0158	
18-348	Turkey, dark meat, raw	Turkey, dark meat, raw	A0715 A0795 B1236 C0268 E0152 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024 Z0002 Z0019	
18-358	Turkey, dark meat, roasted	Turkey, dark meat, roasted	A0715 A0795 B1236 C0268 E0152 F0014 G0005 H0003 J0001 K0003 M0001 N0001 P0024 Z0002 Z0019	
18-365	Turkey, drumsticks, roasted, meat and skin	Turkey, drumsticks, roasted, meat and skin		
18-366	Turkey, drumsticks, roasted, meat and skin, weighed with bone	Turkey, drumsticks, roasted, meat and skin, weighed with bone		
18-364	Turkey, drumsticks, roasted, meat only	Turkey, drumsticks, roasted, meat only		
18-349	Turkey, light meat, raw	Turkey, light meat, raw	A0715 A0795 B1236 C0268 E0152 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024 Z0004 Z0019	
18-359	Turkey, light meat, roasted	Turkey, light meat, roasted	A0715 A0795 B1236 C0268 E0152 F0014 G0005 H0003 J0001 K0003 M0001 N0001 P0024 Z0004 Z0019	
18-360	Turkey, light meat, self-basting, roasted	Turkey, light meat, self-basting, roasted	A0715 A0795 B1236 C0268 E0152 F0014 G0005 H0003 J0001 K0003 M0001 N0001 P0024 Z0004 Z0019	
18-350	Turkey, meat, average, raw	Turkey, meat, average, raw	A0715 A0795 B1236 C0268 E0152 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024 Z0019 Z0054	
18-361	Turkey, meat, average, roasted	Turkey, meat, average, roasted	A0715 A0795 B1236 C0268 E0152 F0014 G0005 H0003 J0001 K0003 M0001 N0001 P0024 Z0019 Z0054	
18-354	Turkey, mince, stewed	Turkey, mince, stewed		
18-362	Turkey, skin, dry, roasted	Turkey, skin, dry, roasted	A0715 A0795 B1236 C0193 E0152 F0014 G0005 H0003 J0001 K0003 M0001 N0001 P0024	
18-363	Turkey, skin, moist, roasted	Turkey, skin, moist, roasted	A0715 A0795 B1236 C0193 E0152 F0014 G0005 H0003 J0001 K0003 M0001 N0001 P0024	
18-351	Turkey, skin, raw	Turkey, skin, raw		
19-440	Turkey, stir-fried with vegetables	Turkey, stir-fried with vegetables		
18-357	Turkey, strips, stir-fried	Turkey, strips, stir-fried	A0715 A0795 B1236 C0268 E0152 F0014 G0028 H0233 J0001 K0003 M0001 N0001 P0024 Z0003 Z0019 Z0158	
18-355	Turkey, thighs, diced, casseroled, meat only	Turkey, thighs, diced, casseroled, meat only		
17-593	Turkish delight, with nuts	Turkish delight, with nuts		
17-122	Turkish delight, without nuts	Turkish delight, without nuts	A0698 A0838 B1012 C0210 E0147 F0014 G0003 H0100 H0146 J0001 K0003 M0001 N0001 P0024 R0001	
13-861	Turmeric, ground	Turmeric, ground		
13-392	Turnip tops, boiled in unsalted water	Turnip tops, boiled in unsalted water		
13-390	Turnip, boiled in salted water	Turnip, boiled in salted water	A0705 A0826 B1238 C0240 E0152 F0014 G0015 H0003 J0001 K0003 M0001 N0001 P0024	
13-391	Turnip, boiled in unsalted water	Turnip, boiled in unsalted water	A0705 A0826 B1238 C0240 E0152 F0014 G0015 H0003 J0001 K0003 M0001 N0001 P0024 P0078	
13-389	Turnip, raw	Turnip, raw	A0705 A0826 B1238 C0240 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
17-150	Twiglets	Twiglets	A0722 A0868 B1312 C0133 E0147 F0014 G0003 H0117 H0138 H0263 J0001 K0003 M0001 N0001 P0024 R0001	
17-550	Twix	Twix	A0698 A0839 B1012 C0108 E0147 F0014 G0003 H0221 H0231 H0297 H0355 J0001 K0003 M0173 N0001 P0024 R0001	
12-410	Tzatziki	Tzatziki	A0721 A0783 B1201 C0235 E0144 F0001 G0003 H0151 H0212 J0001 K0003 M0001 N0001 P0024 R0001	
11-690	Vanilla Slices	Vanilla Slices		
18-487	Veal, escalope, fried	Veal, escalope, fried	A0714 A0794 B1349 C0175 E0152 F0014 G0024 H0233 J0001 K0003 M0001 N0001 P0024 Z0019	
18-486	Veal, escalope, raw	Veal, escalope, raw	A0714 A0794 B1349 C0175 E0152 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024 Z0019	
18-094	Veal, mince, raw	Veal, mince, raw		
18-095	Veal, mince, stewed	Veal, mince, stewed		
15-323	Vegebanger mix	Vegebanger mix		
15-324	Vegebanger mix, made up with water	Vegebanger mix, made up with water		
15-327	Vegebanger mix, made up with water and egg	Vegebanger mix, made up with water and egg		
15-328	Vegebanger mix, made up with water and egg, fried in sunflower oil	Vegebanger mix, made up with water and egg, fried in sunflower oil		
15-329	Vegebanger mix, made up with water and egg, fried in vegetable oil	Vegebanger mix, made up with water and egg, fried in vegetable oil		
15-325	Vegebanger mix, made up with water, fried in sunflower oil	Vegebanger mix, made up with water, fried in sunflower oil		
15-326	Vegebanger mix, made up with water, fried in vegetable oil	Vegebanger mix, made up with water, fried in vegetable oil		
15-332	Vegeburger mix	Vegeburger mix		
15-333	Vegeburger mix, made up with water	Vegeburger mix, made up with water		
15-337	Vegeburger mix, made up with water and egg	Vegeburger mix, made up with water and egg		
15-338	Vegeburger mix, made up with water and egg, fried in sunflower oil	Vegeburger mix, made up with water and egg, fried in sunflower oil		
15-339	Vegeburger mix, made up with water and egg, fried in vegetable oil	Vegeburger mix, made up with water and egg, fried in vegetable oil		
15-340	Vegeburger mix, made up with water and egg, grilled	Vegeburger mix, made up with water and egg, grilled		
15-334	Vegeburger mix, made up with water, fried in sunflower oil	Vegeburger mix, made up with water, fried in sunflower oil		
15-335	Vegeburger mix, made up with water, fried in vegetable oil	Vegeburger mix, made up with water, fried in vegetable oil		
15-336	Vegeburger mix, made up with water, grilled	Vegeburger mix, made up with water, grilled		
15-330	Vegeburger, retail, fried in vegetable oil	Vegeburger, retail, fried in vegetable oil		
15-331	Vegeburger, retail, grilled	Vegeburger, retail, grilled	A0705 A0828 B1452 C0236 E0147 F0014 G0006 H0151 H0164 H0205 H0259 H0349 J0001 K0003 M0001 N0001 P0024 R0001 Z0112	
15-363	Vegetable and cheese grill/burger, in crumbs, baked/grilled	Vegetable and cheese grill/burger, in crumbs, baked/grilled	A0705 A0828 B1579 C0174 E0147 F0014 G0004 H0143 H0188 H0349 H0356 J0001 K0003 M0001 N0001 P0024 R0001	
15-382	Vegetable bake	Vegetable bake	A0705 A0828 B1579 C0174 E0134 F0014 G0001 H0151 H0188 H0242 H0272 J0003 K0003 M0001 N0001 P0024 R0001	
15-356	Vegetable balti, takeaway	Vegetable balti, takeaway		
15-355	Vegetable curry, Thai, takeaway	Vegetable curry, Thai, takeaway		
15-358	Vegetable grill/burger, in crumbs, baked/grilled	Vegetable grill/burger, in crumbs, baked/grilled		
15-362	Vegetable kiev, baked	Vegetable kiev, baked	A0705 A0828 B1049 C0236 E0150 F0014 G0005 H0151 H0188 H0242 J0001 K0003 M0001 N0001 P0024 R0001 Z0112	
17-489	Vegetable oil, blended, average	Vegetable oil, blended, average	A0700 A0806 B1017 C0190 E0139 F0014 G0003 H0197 H0206 J0003 K0003 M0001 N0001 P0024	
15-342	Vegetable pancake roll	Vegetable pancake roll		
15-343	Vegetable pate	Vegetable pate		
17-376	Vegetable puree	Vegetable puree		
17-284	Vegetable soup, canned	Vegetable soup, canned	A0722 A0865 B1579 C0174 E0130 F0014 G0003 H0117 H0148 H0150 H0152 H0263 J0123 K0003 M0204 N0001 P0024	
17-285	Vegetable soup, dried	Vegetable soup, dried	A0722 A0865 B1579 C0174 E0136 F0022 G0003 H0138 H0152 H0227 J0116 K0003 M0118 N0001 P0024 Z0090	
17-286	Vegetable soup, dried, as served	Vegetable soup, dried, as served	A0722 A0865 B1579 C0174 E0109 F0022 G0003 H0152 H0227 H0259 J0001 K0003 M0001 N0001 P0024	
17-607	Vegetable soup, homemade	Vegetable soup, homemade		
15-344	Vegetable stir fry mix, fried in corn oil	Vegetable stir fry mix, fried in corn oil	A0705 A0828 B1579 C0174 E0151 F0014 G0028 H0241 J0136 K0003 M0001 N0001 P0024 R0001	
15-345	Vegetable stir fry mix, fried in sunflower oil	Vegetable stir fry mix, fried in sunflower oil	A0705 A0828 B1579 C0174 E0151 F0014 G0028 H0241 J0136 K0003 M0001 N0001 P0024 R0001	
15-346	Vegetable stir fry mix, fried in vegetable oil	Vegetable stir fry mix, fried in vegetable oil	A0705 A0828 B1579 C0174 E0151 F0014 G0028 H0241 J0136 K0003 M0001 N0001 P0024 R0001	
15-364	Vegetables, stir-fried, takeaway	Vegetables, stir-fried, takeaway	A0705 A0828 B1579 C0174 E0151 F0014 G0028 H0001 J0001 K0003 M0001 N0001 P0024 R0001 Z0119	
15-365	Vegetarian sausages, baked/grilled	Vegetarian sausages, baked/grilled	A0705 A0828 B1049 C0236 E0147 F0014 G0004 H0259 J0003 K0003 M0001 N0001 P0024 R0001	
19-441	Venison in red wine and port	Venison in red wine and port		
18-455	Venison, casseroled, meat only	Venison, casseroled, meat only	A0714 A0794 B1583 C0268 E0152 F0014 G0020 H0003 J0001 K0003 M0001 N0001 P0024	
18-390	Venison, raw	Venison, raw	A0714 A0794 B1583 C0268 E0152 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
18-491	Venison, roast	Venison, roast	A0714 A0794 B1583 C0268 E0152 F0014 G0005 H0003 J0001 K0003 M0001 N0001 P0024	
11-065	Vermicelli, raw	Vermicelli, raw		
17-239	Vermouth, dry	Vermouth, dry	A0712 A0849 B1329 C0140 E0123 F0001 G0003 H0117 H0253 H0256 J0001 K0003 M0214 N0001 P0024	
17-240	Vermouth, sweet	Vermouth, sweet	A0712 A0849 B1329 C0140 E0123 F0001 G0003 H0117 H0253 H0256 J0001 K0003 M0214 N0001 P0024	
13-393	Vine leaves, preserved in brine	Vine leaves, preserved in brine	A0707 A0826 B1329 C0200 E0150 F0001 G0003 H0001 J0137 K0018 M0001 N0001 P0024	
15-611	Vine leaves, stuffed with rice	Vine leaves, stuffed with rice		
17-339	Vinegar	Vinegar	A0722 A0856 B1347 C0174 E0123 F0014 G0003 H0123 J0104 K0003 M0001 N0001 P0024 R0001	
12-907	Virtually fat free/diet yogurt, fruit,twin pot	Virtually fat free/diet yogurt, fruit,twin pot		
11-524	Wafer biscuits, filled	Wafer biscuits, filled	A0695 A0821 B1312 C0155 E0105 F0014 G0003 H0117 H0136 H0146 H0150 H0263 H0751 J0001 K0003 M0001 N0001 P0024 R0001	
11-509	Wafers, filled, chocolate, full coated	Wafers, filled, chocolate, full coated	A0695 A0821 B1201 C0235 E0105 F0014 G0003 H0136 H0231 H0263 H0319 H0351 H0355 J0001 K0003 M0001 N0001 P0024 R0001	
11-679	Waffles	Waffles		
17-047	Walnut oil	Walnut oil	A0700 A0806 B1290 C0190 E0139 F0014 G0003 H0197 H0206 J0003 K0003 M0001 N0001 P0024	
14-879	Walnuts	Walnuts	A0703 A0823 B1290 C0155 E0150 F0001 G0003 H0138 J0116 K0003 M0001 N0001 P0024	
14-887	Walnuts, weighed with shells	Walnuts, weighed with shells	A0703 A0823 B1290 C0155 E0150 F0001 G0003 H0138 J0116 K0003 M0001 N0001 P0024	
11-187	Water biscuits	Water biscuits	A0695 A0821 B1312 C0132 E0140 F0014 G0003 H0221 J0001 K0003 M0001 N0001 P0024 R0001	
13-395	Water chestnuts, canned, drained	Water chestnuts, canned, drained		
13-394	Water chestnuts, raw	Water chestnuts, raw		
17-377	Water, distilled	Water, distilled	A0709 A0844 B1217 C0005 E0123 F0003 G0003 H0003 J0003 K0003 M0001 N0001 P0024	
13-462	Watercress, raw	Watercress, raw	A0705 A0826 B1492 C0200 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
11-505	Weetabix	Weetabix	A0692 A0816 B1312 C0133 E0105 F0014 G0003 H0130 H0138 H0181 H0194 H0216 H0309 H0310 H0311 J0116 K0003 M0155 N0001 P0024 R0001	
50-092	Weetos	Weetos	A0692 A0816 B1312 C0133 E0147 F0014 G0003 H0130 H0138 H0181 H0194 H0214 H0215 H0216 H0309 H0310 H0311 J0116 K0003 M0155 N0001 P0024 R0001	
11-649	Welsh cakes	Welsh cakes		
11-680	Welsh cheesecakes	Welsh cheesecakes		
12-458	Welsh rarebit	Welsh rarebit		
12-459	Welsh rarebit, wholemeal	Welsh rarebit, wholemeal		
17-151	Wheat crunchies	Wheat crunchies		
11-437	Wheat flour, brown	Wheat flour, brown	A0693 A0813 B1312 C0133 E0106 F0001 G0003 H0138 H0162 H0181 H0309 H0311 J0116 K0003 M0001 N0001 P0024 R0001	
11-029	Wheat flour, patent	Wheat flour, patent		
11-438	Wheat flour, white, breadmaking	Wheat flour, white, breadmaking	A0693 A0813 B1312 C0132 E0106 F0001 G0003 H0138 H0162 H0181 H0309 H0311 J0116 K0003 M0001 N0001 P0024 R0001	
11-439	Wheat flour, white, plain	Wheat flour, white, plain	A0693 A0813 B1312 C0132 E0106 F0001 G0003 H0138 H0162 H0181 H0309 H0311 J0116 K0003 M0001 N0001 P0024 R0001	
11-440	Wheat flour, white, self-raising	Wheat flour, white, self-raising	A0693 A0813 B1312 C0132 E0106 F0001 G0003 H0138 H0144 H0162 H0181 H0309 H0311 H0370 J0116 K0003 M0001 N0001 P0024 R0001	
11-441	Wheat flour, wholemeal	Wheat flour, wholemeal	A0693 A0813 B1312 C0133 E0106 F0001 G0003 H0138 J0116 K0003 M0001 N0001 P0024 R0001	
11-622	Wheatgerm	Wheatgerm	A0696 A0814 B1312 C0182 E0136 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024 R0001	
11-467	Wheatgerm bread	Wheatgerm bread	A0691 A0818 B1312 C0132 E0140 F0014 G0003 H0222 H0256 H0318 H0753 J0001 K0003 M0001 N0001 P0024 R0001	
17-048	Wheatgerm oil	Wheatgerm oil	A0700 A0806 B1312 C0190 E0139 F0014 G0003 H0197 H0206 J0003 K0003 M0001 N0001 P0024	
16-268	Whelks, boiled	Whelks, boiled	A0717 A0802 B1633 C0125 E0150 F0014 G0015 H0003 J0001 K0003 M0001 N0001 P0024	
16-269	Whelks, boiled, weighed with shells	Whelks, boiled, weighed with shells	A0717 A0802 B1633 C0125 E0150 F0014 G0015 H0003 J0001 K0003 M0001 N0001 P0024	
12-035	Whey	Whey		
12-036	Whey, dried	Whey, dried		
11-099	White bread, average	White bread, average	A0691 A0818 B1312 C0132 E0151 F0014 G0003 H0256 H0259 H0753 J0001 K0003 M0001 N0001 P0024 R0001	
11-466	White bread, Danish style	White bread, Danish style	A0691 A0818 B1312 C0132 E0147 F0014 G0003 H0256 H0259 H0753 J0154 K0003 M0001 N0001 P0024 R0001	
11-470	White bread, farmhouse or split tin, freshly baked	White bread, farmhouse or split tin, freshly baked	A0691 A0818 B1312 C0132 E0146 F0014 G0003 H0256 H0259 H0753 J0001 K0003 M0001 N0001 P0024 R0001	
11-471	White bread, French stick	White bread, French stick	A0691 A0818 B1312 C0132 E0147 F0014 G0003 H0256 H0259 H0753 J0001 K0003 M0001 N0001 P0024 R0001	
11-105	White bread, fried in blended oil	White bread, fried in blended oil	A0691 A0818 B1312 C0132 E0137 F0014 G0035 H0256 H0259 H0334 H0753 J0100 K0003 M0001 N0001 P0024 R0001	
11-469	White bread, fried in lard	White bread, fried in lard	A0691 A0818 B1312 C0132 E0140 F0014 G0035 H0256 H0259 H0262 H0335 H0753 J0001 K0003 M0001 N0001 P0024 R0001	
11-100	White bread, large, crusty	White bread, large, crusty		
11-101	White bread, large, tin	White bread, large, tin		
11-474	White bread, premium	White bread, premium	A0691 A0818 B1312 C0132 E0147 F0014 G0003 H0256 H0259 H0263 H0753 J0001 K0003 M0001 N0001 P0024 R0001	
11-108	White bread, Scottish batch, unwrapped	White bread, Scottish batch, unwrapped		
11-109	White bread, Scottish batch, wrapped	White bread, Scottish batch, wrapped		
11-468	White bread, sliced	White bread, sliced	A0691 A0818 B1312 C0132 E0137 F0014 G0003 H0256 H0259 H0753 J0100 K0003 M0001 N0001 P0024 R0001	
11-475	White bread, toasted	White bread, toasted	A0691 A0818 B1312 C0132 E0137 F0014 G0010 H0256 H0259 H0753 J0001 K0003 M0001 N0001 P0024 R0001	
11-110	White bread, Vienna	White bread, Vienna		
11-472	White bread, 'with added fibre'	White bread, 'with added fibre'	A0691 A0818 B1312 C0132 E0147 F0014 G0003 H0256 H0259 H0301 H0318 H0753 J0001 K0003 M0001 N0001 P0024 R0001	
11-473	White bread, 'with added fibre', toasted	White bread, 'with added fibre', toasted	A0691 A0818 B1312 C0132 E0137 F0014 G0010 H0256 H0259 H0301 H0318 H0753 J0001 K0003 M0001 N0001 P0024 R0001	
12-058	White Cap SMA	White Cap SMA		
16-158	White fish, dried, salted	White fish, dried, salted		
19-159	White pudding	White pudding	A0714 A0798 B1297 C0267 E0147 F0001 G0001 H0001 J0001 K0003 M0001 N0001 P0024	
